arrival_date,revenue
2015/7/1,20311.18662
2015/7/2,16530.64528
2015/7/3,12966.71416
2015/7/4,17480.65426
2015/7/5,19591.45848
2015/7/6,21441.59169
2015/7/7,10930.81864
2015/7/8,12148.62265
2015/7/9,10274.33008
2015/7/10,23705.82834
2015/7/11,27216.10099
2015/7/12,22639.35051
2015/7/13,20809.52284
2015/7/14,15760.51465
2015/7/15,12779.15246
2015/7/16,24603.23137
2015/7/17,35427.85499
2015/7/18,37014.80697
2015/7/19,20388.25535
2015/7/20,36553.06022
2015/7/21,15595.74758
2015/7/22,11770.80131
2015/7/23,20703.36779
2015/7/24,29244.41702
2015/7/25,38455.37704
2015/7/26,24547.04966
2015/7/27,32740.54139
2015/7/28,10592.90435
2015/7/29,13586.89725
2015/7/30,21683.68086
2015/7/31,21995.14212
2015/8/1,56063.34636
2015/8/2,34373.70723
2015/8/3,39216.17411
2015/8/4,21667.12381
2015/8/5,20127.66904
2015/8/6,18103.36387
2015/8/7,27375.02061
2015/8/8,45576.44265
2015/8/9,38533.62311
2015/8/10,61565.40665
2015/8/11,30231.30542
2015/8/12,18156.51687
2015/8/13,25411.05558
2015/8/14,44756.70441
2015/8/15,57467.6883
2015/8/16,43211.29006
2015/8/17,52351.72816
2015/8/18,31621.36786
2015/8/19,21525.4657
2015/8/20,25384.35786
2015/8/21,34922.43985
2015/8/22,55828.07878
2015/8/23,41304.86128
2015/8/24,32840.34525
2015/8/25,22720.48233
2015/8/26,15190.62058
2015/8/27,17194.88869
2015/8/28,23928.31691
2015/8/29,38179.15697
2015/8/30,22212.56639
2015/8/31,27539.89248
2015/9/1,32384.29726
2015/9/2,18347.80705
2015/9/3,27024.96103
2015/9/4,38389.14506
2015/9/5,33333.59886
2015/9/6,49654.87193
2015/9/7,38682.99153
2015/9/8,21547.47167
2015/9/9,29085.88178
2015/9/10,22049.96472
2015/9/11,24300.71369
2015/9/12,29244.09043
2015/9/13,24100.12625
2015/9/14,30857.46625
2015/9/15,22274.47294
2015/9/16,24921.35893
2015/9/17,27880.26339
2015/9/18,32960.37345
2015/9/19,42005.22027
2015/9/20,32589.66229
2015/9/21,36578.05261
2015/9/22,22464.94198
2015/9/23,36414.75063
2015/9/24,25263.7457
2015/9/25,95364.35669
2015/9/26,37017.84414
2015/9/27,19342.48251
2015/9/28,20698.40652
2015/9/29,13113.8549
2015/9/30,18953.55226
2015/10/1,24218.03575
2015/10/2,37311.23021
2015/10/3,16518.29775
2015/10/4,34147.11382
2015/10/5,28061.10514
2015/10/6,27096.77729
2015/10/7,26187.26366
2015/10/8,13826.55042
2015/10/9,30166.93473
2015/10/10,23071.41269
2015/10/11,16959.71502
2015/10/12,32983.67447
2015/10/13,17185.2698
2015/10/14,10714.44078
2015/10/15,28044.6818
2015/10/16,26298.88821
2015/10/17,12347.19248
2015/10/18,32363.36469
2015/10/19,42844.3156
2015/10/20,22136.06004
2015/10/21,15542.30859
2015/10/22,17380.84504
2015/10/23,21025.32355
2015/10/24,17515.96434
2015/10/25,42398.76558
2015/10/26,16775.03445
2015/10/27,7235.040153
2015/10/28,28877.18646
2015/10/29,10354.58511
2015/10/30,9708.883835
2015/10/31,13257.65037
2015/11/1,11593.5075
2015/11/2,12553.45089
2015/11/3,8196.691363
2015/11/4,7904.533787
2015/11/5,9720.225488
2015/11/6,15824.93042
2015/11/7,15827.55681
2015/11/8,11859.70008
2015/11/9,8153.508753
2015/11/10,6111.632031
2015/11/11,7011.926693
2015/11/12,6836.819297
2015/11/13,3824.549354
2015/11/14,6137.953449
2015/11/15,4501.461766
2015/11/16,6898.150955
2015/11/17,7497.349887
2015/11/18,26146.8724
2015/11/19,5141.427294
2015/11/20,19546.2691
2015/11/21,7079.294669
2015/11/22,9202.44392
2015/11/23,28219.13215
2015/11/24,7344.878946
2015/11/25,4079.493634
2015/11/26,5357.86054
2015/11/27,14635.39553
2015/11/28,4768.008278
2015/11/29,3292.764064
2015/11/30,6495.086549
2015/12/1,3546.278033
2015/12/2,4658.168659
2015/12/3,8817.465658
2015/12/4,20498.32415
2015/12/5,60522.3615
2015/12/6,8416.90688
2015/12/7,1827.779689
2015/12/8,2762.625988
2015/12/9,7247.421477
2015/12/10,4178.473805
2015/12/11,4209.640315
2015/12/12,5531.740094
2015/12/13,2588.26323
2015/12/14,3686.726672
2015/12/15,2248.207519
2015/12/16,3705.396056
2015/12/17,5761.670288
2015/12/18,5571.879935
2015/12/19,8223.991474
2015/12/20,5363.347749
2015/12/21,5868.386149
2015/12/22,9863.963504
2015/12/23,15923.98515
2015/12/24,9867.919171
2015/12/25,7280.643625
2015/12/26,23167.66032
2015/12/27,24989.32123
2015/12/28,18395.75506
2015/12/29,23682.75803
2015/12/30,60522.35381
2015/12/31,24168.03278
2016/1/1,8082.217711
2016/1/2,29360.98264
2016/1/3,7383.062236
2016/1/4,12574.06868
2016/1/5,3769.538204
2016/1/6,4795.520159
2016/1/7,5884.385214
2016/1/8,7784.059762
2016/1/9,5834.527646
2016/1/10,9842.649126
2016/1/11,4800.540599
2016/1/12,4974.324073
2016/1/13,4082.985539
2016/1/14,7481.715033
2016/1/15,11875.90746
2016/1/16,7140.15491
2016/1/17,4476.761735
2016/1/18,6385.150098
2016/1/19,13854.15283
2016/1/20,5578.534285
2016/1/21,8198.1549
2016/1/22,5887.497719
2016/1/23,6616.609043
2016/1/24,7372.618406
2016/1/25,8510.782283
2016/1/26,183.356304
2016/1/27,7871.115192
2016/1/28,8984.607766
2016/1/29,10136.21297
2016/1/30,7264.573008
2016/1/31,6734.219554
2016/2/1,6877.177223
2016/2/2,4126.05015
2016/2/3,10734.18958
2016/2/4,12127.80243
2016/2/5,17446.03516
2016/2/6,35423.08198
2016/2/7,23430.70733
2016/2/8,15351.88866
2016/2/9,6948.8745
2016/2/10,9645.050297
2016/2/11,13502.47637
2016/2/12,24591.98552
2016/2/13,23468.65834
2016/2/14,23006.35612
2016/2/15,12519.39548
2016/2/16,8522.58043
2016/2/17,9681.439418
2016/2/18,13310.9449
2016/2/19,21527.37276
2016/2/20,16864.99623
2016/2/21,14076.49836
2016/2/22,18475.38534
2016/2/23,10595.11193
2016/2/24,10961.1764
2016/2/25,11274.21281
2016/2/26,18015.27619
2016/2/27,33115.76343
2016/2/28,18918.27924
2016/2/29,12503.19563
2016/3/1,15605.47532
2016/3/2,15396.03745
2016/3/3,17126.26447
2016/3/4,20753.14847
2016/3/5,21224.72945
2016/3/6,14477.73648
2016/3/7,27918.22765
2016/3/8,12933.17887
2016/3/9,20812.77377
2016/3/10,18019.39449
2016/3/11,22310.73629
2016/3/12,20779.10643
2016/3/13,22813.95183
2016/3/14,20977.58162
2016/3/15,14815.15271
2016/3/16,12040.78149
2016/3/17,22815.94007
2016/3/18,22033.15691
2016/3/19,33203.11838
2016/3/20,38359.11258
2016/3/21,27353.52571
2016/3/22,16840.10097
2016/3/23,21468.33176
2016/3/24,44161.47508
2016/3/25,27994.40737
2016/3/26,19202.25608
2016/3/27,19889.35952
2016/3/28,36691.8543
2016/3/29,19754.21795
2016/3/30,18399.28792
2016/3/31,30680.79409
2016/4/1,19845.65879
2016/4/2,20619.72135
2016/4/3,22786.90807
2016/4/4,31917.62894
2016/4/5,15332.6233
2016/4/6,23719.35337
2016/4/7,23743.73451
2016/4/8,27984.93777
2016/4/9,34522.33646
2016/4/10,24636.78261
2016/4/11,36944.69493
2016/4/12,20053.31039
2016/4/13,21290.38338
2016/4/14,18935.84793
2016/4/15,24024.44234
2016/4/16,31472.35427
2016/4/17,33020.11509
2016/4/18,38037.87972
2016/4/19,17398.9027
2016/4/20,25632.97945
2016/4/21,23964.34
2016/4/22,30391.52982
2016/4/23,36415.41821
2016/4/24,25641.4441
2016/4/25,26373.15957
2016/4/26,26015.9157
2016/4/27,24572.31133
2016/4/28,34591.31708
2016/4/29,37647.60891
2016/4/30,37398.66989
2016/5/1,20494.4843
2016/5/2,44806.47995
2016/5/3,16134.41575
2016/5/4,22156.05349
2016/5/5,36749.09484
2016/5/6,23079.24046
2016/5/7,29138.87279
2016/5/8,30539.21644
2016/5/9,44381.68445
2016/5/10,23128.41275
2016/5/11,26352.02414
2016/5/12,29482.55452
2016/5/13,30607.46144
2016/5/14,24011.44229
2016/5/15,41701.81671
2016/5/16,32640.9764
2016/5/17,29047.24613
2016/5/18,20081.37566
2016/5/19,40675.17297
2016/5/20,21962.7359
2016/5/21,37747.70959
2016/5/22,33970.49093
2016/5/23,24489.52849
2016/5/24,18894.85911
2016/5/25,20621.13775
2016/5/26,47164.46218
2016/5/27,13792.30574
2016/5/28,15116.63228
2016/5/29,49260.37998
2016/5/30,41758.6069
2016/5/31,28386.36093
2016/6/1,29039.02927
2016/6/2,37576.82809
2016/6/3,31705.03718
2016/6/4,26558.9565
2016/6/5,20781.23836
2016/6/6,59170.41287
2016/6/7,19815.34496
2016/6/8,19116.8804
2016/6/9,33583.552
2016/6/10,40900.12747
2016/6/11,28348.13185
2016/6/12,40768.41986
2016/6/13,30249.2357
2016/6/14,20541.82153
2016/6/15,34144.73845
2016/6/16,33127.56877
2016/6/17,46596.97741
2016/6/18,28062.49473
2016/6/19,36630.72209
2016/6/20,32796.95576
2016/6/21,28655.60505
2016/6/22,20007.3624
2016/6/23,14796.33574
2016/6/24,38962.58865
2016/6/25,23402.68043
2016/6/26,63085.07926
2016/6/27,34225.58411
2016/6/28,34670.94987
2016/6/29,20237.30826
2016/6/30,35896.26655
2016/7/1,33276.38452
2016/7/2,35420.18379
2016/7/3,42951.07484
2016/7/4,47127.81569
2016/7/5,41711.67126
2016/7/6,36275.05162
2016/7/7,31621.45231
2016/7/8,37415.6342
2016/7/9,43884.85516
2016/7/10,47762.20331
2016/7/11,50249.68358
2016/7/12,29318.51828
2016/7/13,41838.69052
2016/7/14,38863.26356
2016/7/15,39752.10069
2016/7/16,55765.12459
2016/7/17,54720.71005
2016/7/18,65801.24699
2016/7/19,33837.04486
2016/7/20,29135.98918
2016/7/21,51280.03105
2016/7/22,33089.84053
2016/7/23,65968.69513
2016/7/24,48443.95848
2016/7/25,59790.77136
2016/7/26,32405.40548
2016/7/27,35857.73367
2016/7/28,39785.55138
2016/7/29,37443.90434
2016/7/30,60554.66516
2016/7/31,50009.79459
2016/8/1,88521.30042
2016/8/2,46023.50074
2016/8/3,50111.32642
2016/8/4,56537.49845
2016/8/5,43755.22231
2016/8/6,56693.17934
2016/8/7,49934.0088
2016/8/8,83757.13737
2016/8/9,41222.67351
2016/8/10,36811.82656
2016/8/11,50600.72308
2016/8/12,52688.54397
2016/8/13,66609.72025
2016/8/14,58105.25878
2016/8/15,69668.52278
2016/8/16,58244.1157
2016/8/17,41981.85054
2016/8/18,48591.87566
2016/8/19,43181.09215
2016/8/20,69174.37261
2016/8/21,59493.18736
2016/8/22,78092.05231
2016/8/23,38632.44345
2016/8/24,36760.99629
2016/8/25,35495.87042
2016/8/26,48144.31945
2016/8/27,46771.68774
2016/8/28,63238.50773
2016/8/29,45194.47119
2016/8/30,27262.4956
2016/8/31,33541.22684
2016/9/1,48266.0418
2016/9/2,39984.69388
2016/9/3,43775.32045
2016/9/4,37552.67837
2016/9/5,61457.08947
2016/9/6,32725.00741
2016/9/7,21800.11831
2016/9/8,33611.08322
2016/9/9,33722.17283
2016/9/10,35875.23304
2016/9/11,43418.18382
2016/9/12,33703.04034
2016/9/13,39151.65588
2016/9/14,22769.313
2016/9/15,40922.64304
2016/9/16,36410.60699
2016/9/17,32626.47395
2016/9/18,42876.3658
2016/9/19,43672.92375
2016/9/20,24706.90665
2016/9/21,30378.36234
2016/9/22,38534.35656
2016/9/23,27801.24087
2016/9/24,28090.68318
2016/9/25,45426.74966
2016/9/26,45146.7074
2016/9/27,25463.92537
2016/9/28,27135.11974
2016/9/29,24953.03924
2016/9/30,39968.94362
2016/10/1,23101.49987
2016/10/2,38695.4969
2016/10/3,37508.2773
2016/10/4,28303.52404
2016/10/5,25768.7486
2016/10/6,28618.70729
2016/10/7,35063.1518
2016/10/8,20743.30478
2016/10/9,31791.70901
2016/10/10,34633.13858
2016/10/11,21968.20903
2016/10/12,19728.54424
2016/10/13,26924.03363
2016/10/14,26809.41649
2016/10/15,21286.52597
2016/10/16,52004.52406
2016/10/17,34872.34289
2016/10/18,19487.21476
2016/10/19,21011.8107
2016/10/20,25366.33362
2016/10/21,30991.31278
2016/10/22,25141.48626
2016/10/23,41981.96532
2016/10/24,27809.7476
2016/10/25,28932.97819
2016/10/26,20510.07161
2016/10/27,20524.18276
2016/10/28,35584.79998
2016/10/29,37511.44217
2016/10/30,38079.93816
2016/10/31,30033.42166
2016/11/1,19380.12806
2016/11/2,24852.63695
2016/11/3,20231.22416
2016/11/4,24936.41452
2016/11/5,23918.39672
2016/11/6,43201.14981
2016/11/7,52451.43822
2016/11/8,14729.92269
2016/11/9,12676.41271
2016/11/10,24499.00523
2016/11/11,30290.63821
2016/11/12,25558.67907
2016/11/13,29454.68347
2016/11/14,30162.20174
2016/11/15,10942.46118
2016/11/16,18350.37749
2016/11/17,19248.23896
2016/11/18,27952.42463
2016/11/19,23188.11661
2016/11/20,15854.25853
2016/11/21,25851.78058
2016/11/22,8337.831265
2016/11/23,10906.34531
2016/11/24,15272.1302
2016/11/25,21702.85839
2016/11/26,14874.32335
2016/11/27,15345.3402
2016/11/28,13746.31045
2016/11/29,8290.724606
2016/11/30,8680.132605
2016/12/1,18255.66209
2016/12/2,19889.13345
2016/12/3,27734.00215
2016/12/4,15142.26021
2016/12/5,23293.06379
2016/12/6,9887.119495
2016/12/7,13076.61359
2016/12/8,32749.32981
2016/12/9,12763.63443
2016/12/10,12553.82029
2016/12/11,4645.846661
2016/12/12,7205.10236
2016/12/13,8613.901767
2016/12/14,9069.44396
2016/12/15,7606.906742
2016/12/16,10168.09405
2016/12/17,15256.199
2016/12/18,14338.97906
2016/12/19,13172.23316
2016/12/20,12387.07077
2016/12/21,17694.65495
2016/12/22,23733.34258
2016/12/23,22451.24531
2016/12/24,28179.65408
2016/12/25,16098.782
2016/12/26,20519.02549
2016/12/27,33983.2823
2016/12/28,33209.19688
2016/12/29,29442.18797
2016/12/30,60518.61372
2016/12/31,19899.82644
2017/1/1,21081.90078
2017/1/2,30312.21228
2017/1/3,18325.33272
2017/1/4,10933.45932
2017/1/5,11651.14675
2017/1/6,14504.552
2017/1/7,16545.1937
2017/1/8,14248.76739
2017/1/9,11436.78039
2017/1/10,6247.731642
2017/1/11,7945.930764
2017/1/12,12597.00422
2017/1/13,10814.43403
2017/1/14,15757.8252
2017/1/15,19909.56714
2017/1/16,30120.53293
2017/1/17,7675.921853
2017/1/18,22921.68372
2017/1/19,21822.61263
2017/1/20,10878.65211
2017/1/21,14021.14055
2017/1/22,19550.30408
2017/1/23,15088.67837
2017/1/24,9118.039321
2017/1/25,16346.92043
2017/1/26,12399.84523
2017/1/27,17875.01792
2017/1/28,13168.23226
2017/1/29,13356.63594
2017/1/30,14933.17638
2017/1/31,7582.440215
2017/2/1,6966.123151
2017/2/2,22788.1564
2017/2/3,7778.413234
2017/2/4,22630.71728
2017/2/5,25949.45559
2017/2/6,16026.23039
2017/2/7,9285.699361
2017/2/8,11405.78003
2017/2/9,23093.873
2017/2/10,22176.70601
2017/2/11,20257.99977
2017/2/12,36598.97361
2017/2/13,34947.11765
2017/2/14,14546.87632
2017/2/15,23461.93772
2017/2/16,20243.60436
2017/2/17,21695.18067
2017/2/18,22940.84326
2017/2/19,30116.78853
2017/2/20,27538.19865
2017/2/21,12863.37983
2017/2/22,20607.34226
2017/2/23,18433.77452
2017/2/24,18010.86124
2017/2/25,33647.36673
2017/2/26,39535.75658
2017/2/27,26057.37775
2017/2/28,11082.35089
2017/3/1,12952.22809
2017/3/2,29760.28819
2017/3/3,20209.04347
2017/3/4,15544.64966
2017/3/5,35127.05653
2017/3/6,27461.2298
2017/3/7,18843.30516
2017/3/8,14715.42662
2017/3/9,17376.51086
2017/3/10,29097.81475
2017/3/11,21373.81242
2017/3/12,25266.74059
2017/3/13,31613.16262
2017/3/14,18325.97427
2017/3/15,19879.15488
2017/3/16,27455.16864
2017/3/17,22862.60923
2017/3/18,22910.17768
2017/3/19,36892.17089
2017/3/20,32573.41143
2017/3/21,12938.71917
2017/3/22,15335.60113
2017/3/23,21218.71375
2017/3/24,25824.32247
2017/3/25,24410.16761
2017/3/26,32110.80164
2017/3/27,26217.38138
2017/3/28,16185.1777
2017/3/29,24002.25553
2017/3/30,33095.29739
2017/3/31,36062.10316
